MostUsedItems
Item;Matches;Wins;Win Rate
Blade Mail;469,839;254,720;54.21%
Blink Dagger;384,795;185,539;48.22%
Vanguard;299,649;145,614;48.59%
Aghanim's Shard;266,171;160,579;60.33%
Black King Bar;241,094;141,262;58.59%
Phase Boots;227,673;120,291;52.83%
Heart of Tarrasque;146,399;102,826;70.24%
Boots of Speed;119,308;46,981;39.38%
Overwhelming Blink;108,925;78,490;72.06%
Crimson Guard;105,983;64,128;60.51%
Boots of Travel;93,218;65,395;70.15%
Quelling Blade;92,024;40,997;44.55%

Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;78,84%;52,78%;2,47;456;606
Jungle;13,23%;49,72%;2,4;428;519
