MostUsedItems
Item;Matches;Wins;Win Rate
Phase Boots;112,585;54,738;48.62%
Black King Bar;112,014;57,890;51.68%
Aghanim's Shard;67,019;38,100;56.85%
Wraith Band;61,221;27,680;45.21%
Maelstrom;56,276;21,461;38.14%
Skull Basher;54,630;26,801;49.06%
Blade Mail;45,419;22,349;49.21%
Abyssal Blade;41,216;26,118;63.37%
Magic Wand;39,156;17,970;45.89%
Quelling Blade;35,748;15,368;42.99%
Mjollnir;35,237;21,861;62.04%
Sange and Yasha;28,101;15,961;56.80%

Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;37,01%;50,80%;3,1;540;667
Jungle;23,03%;51,31%;2,71;487;557
Off Lane;20,54%;51,73%;2,59;466;598
Mid Lane;17,09%;55,64%;3,29;542;669
