MostUsedItems
Item;Matches;Wins;Win Rate
Blink Dagger;149,409;71,424;47.80%
Phase Boots;123,362;66,005;53.51%
Heart of Tarrasque;115,057;77,668;67.50%
Vanguard;100,300;47,050;46.91%
Blade Mail;95,632;49,103;51.35%
Aghanim's Shard;93,263;57,769;61.94%
Pipe of Insight;78,192;47,796;61.13%
Crimson Guard;61,534;36,803;59.81%
Overwhelming Blink;54,916;39,198;71.38%
Magic Wand;48,180;24,680;51.22%
Boots of Speed;47,295;21,487;45.43%
Bracer;45,643;21,875;47.93%

Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;91,05%;52,69%;2,85;441;573
