MostUsedItems
Item;Matches;Wins;Win Rate
Blade Mail;116,507;59,115;50.74%
Tranquil Boots;93,462;46,103;49.33%
Magic Wand;80,622;40,090;49.73%
Aghanim's Shard;67,297;38,627;57.40%
Force Staff;57,668;29,844;51.75%
Spirit Vessel;51,754;28,601;55.26%
Aghanim's Scepter;48,060;28,105;58.48%
Phase Boots;43,756;22,010;50.30%
Dust of Appearance;41,648;19,047;45.73%
Bracer;33,763;16,053;47.55%
Lotus Orb;30,062;17,964;59.76%
Observer and Sentry Wards;26,815;10,680;39.83%

Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;77,66%;50,44%;2,67;359;488
Safe Lane;12,47%;49,47%;2,37;328;471
