MostUsedItems
Item;Matches;Wins;Win Rate
Guardian Greaves;41,675;24,349;58.43%
Blink Dagger;40,439;21,886;54.12%
Aghanim's Scepter;34,643;20,248;58.45%
Null Talisman;26,086;13,113;50.27%
Aghanim's Shard;24,893;14,882;59.78%
Arcane Boots;19,855;7,989;40.24%
Magic Wand;18,549;9,680;52.19%
Pipe of Insight;15,757;9,884;62.73%
Soul Ring;15,305;7,504;49.03%
Quelling Blade;13,579;6,551;48.24%
Lotus Orb;10,408;6,198;59.55%
Dust of Appearance;9,186;4,288;46.68%

Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;84,81%;51,13%;2,99;432;522
Safe Lane;7,78%;47,28%;2,54;383;489
