MostUsedItems
Item;Matches;Wins;Win Rate
Bloodstone;97,648;51,401;52.64%
Aghanim's Shard;65,198;34,437;52.82%
Boots of Travel;61,146;36,709;60.03%
Bottle;55,885;27,035;48.38%
Black King Bar;51,953;27,760;53.43%
Kaya and Sange;40,599;26,563;65.43%
Null Talisman;37,127;15,932;42.91%
Magic Wand;35,870;16,276;45.37%
Eul's Scepter of Divinity;28,300;12,920;45.65%
Boots of Speed;26,332;7,903;30.01%
Blink Dagger;21,303;13,177;61.86%
Aghanim's Scepter;20,230;12,196;60.29%

Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;50,21%;49,98%;2,79;545;678
Off Lane;29,68%;47,46%;2,04;423;538
Safe Lane;17,60%;45,39%;1,98;395;492
