MostUsedItems
Item;Matches;Wins;Win Rate
Phase Boots;118,157;57,852;48.96%
Black King Bar;116,112;63,857;55.00%
Skull Basher;82,556;44,588;54.01%
Magic Wand;67,302;31,236;46.41%
Orb of Corrosion;36,745;18,068;49.17%
Dust of Appearance;35,836;15,529;43.33%
Blink Dagger;31,697;18,967;59.84%
Bracer;29,305;13,196;45.03%
Orb of Venom;26,152;10,988;42.02%
Quelling Blade;24,188;10,257;42.41%
Daedalus;21,205;14,171;66.83%
Abyssal Blade;19,471;12,788;65.68%

Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;56,06%;49,79%;2,42;364;550
Safe Lane;29,86%;48,28%;2,22;337;523
Mid Lane;8,02%;53,99%;3,31;479;674
Roaming;5,33%;49,29%;2,33;317;503
