MostUsedItems
Item;Matches;Wins;Win Rate
Power Treads;201,092;91,310;45.41%
Manta Style;167,745;83,876;50.00%
Morbid Mask;105,389;36,972;35.08%
Eye of Skadi;101,270;63,350;62.56%
Black King Bar;100,714;49,520;49.17%
Aghanim's Shard;81,135;46,047;56.75%
Wraith Band;62,944;22,637;35.96%
Magic Wand;60,955;23,095;37.89%
Satanic;60,419;42,309;70.03%
Linken's Sphere;60,024;32,957;54.91%
Dragon Lance;57,940;26,253;45.31%
Aghanim's Scepter;55,925;32,146;57.48%

Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;67,17%;47,59%;3,32;566;671
Mid Lane;26,39%;49,00%;3,05;553;697
