MostUsedItems
Item;Matches;Wins;Win Rate
Tranquil Boots;102,714;50,570;49.23%
Aghanim's Shard;85,706;45,820;53.46%
Spirit Vessel;47,328;24,861;52.53%
Magic Wand;39,101;18,784;48.04%
Veil of Discord;34,724;18,005;51.85%
Shiva's Guard;29,393;18,293;62.24%
Dust of Appearance;26,484;12,254;46.27%
Aghanim's Scepter;25,614;14,883;58.10%
Eul's Scepter of Divinity;24,781;12,209;49.27%
Observer and Sentry Wards;20,071;7,467;37.20%
Urn of Shadows;19,324;8,274;42.82%
Smoke of Deceit;16,856;8,385;49.74%

Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;69,98%;49,94%;2,81;375;523
Safe Lane;22,32%;49,32%;2,59;337;481
