MostUsedItems
Item;Matches;Wins;Win Rate
Blink Dagger;133,174;58,830;44.18%
Witch Blade;128,972;61,952;48.04%
Bottle;105,742;48,459;45.83%
Power Treads;75,468;33,687;44.64%
Boots of Travel;63,853;36,522;57.20%
Null Talisman;60,001;22,901;38.17%
Kaya and Sange;58,581;34,244;58.46%
Eul's Scepter of Divinity;54,371;24,103;44.33%
Octarine Core;51,706;34,925;67.55%
Magic Wand;44,312;18,634;42.05%
Aghanim's Shard;43,579;24,754;56.80%
Linken's Sphere;43,565;25,361;58.21%

Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;77,29%;47,28%;3,58;525;685
Off Lane;17,73%;45,62%;2,67;421;551
