MostUsedItems
Item;Matches;Wins;Win Rate
Black King Bar;507,296;270,771;53.38%
Power Treads;433,353;222,477;51.34%
Aghanim's Shard;339,639;198,632;58.48%
Silver Edge;334,887;193,043;57.64%
Bottle;295,380;142,450;48.23%
Boots of Travel;193,809;106,903;55.16%
Dragon Lance;189,665;92,570;48.81%
Arcane Blink;183,044;107,031;58.47%
Hurricane Pike;154,481;94,235;61.00%
Mask of Madness;143,082;67,314;47.05%
Satanic;133,585;92,431;69.19%
Eul's Scepter of Divinity;131,924;60,418;45.80%

Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;83,22%;49,26%;2,9;568;697
Safe Lane;11,78%;50,11%;2,71;584;719
