MostUsedItems
Item;Matches;Wins;Win Rate
Bottle;121,958;54,771;44.91%
Power Treads;120,486;54,613;45.33%
Black King Bar;77,276;39,192;50.72%
Null Talisman;72,505;27,775;38.31%
Kaya and Sange;67,458;38,587;57.20%
Aghanim's Scepter;59,808;34,397;57.51%
Orchid Malevolence;59,355;24,655;41.54%
Aghanim's Shard;52,618;30,632;58.22%
Kaya;48,805;17,265;35.38%
Witch Blade;45,942;22,363;48.68%
Linken's Sphere;38,701;23,495;60.71%
Magic Wand;29,544;12,188;41.25%

Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;91,80%;47,74%;3,33;514;660
