MostUsedItems
Item;Matches;Wins;Win Rate
Desolator;121,646;56,959;46.82%
Power Treads;114,315;50,610;44.27%
Black King Bar;85,355;42,629;49.94%
Blink Dagger;83,448;36,259;43.45%
Dragon Lance;62,405;24,303;38.94%
Aghanim's Shard;52,537;28,892;54.99%
Daedalus;48,016;29,940;62.35%
Hurricane Pike;41,787;23,949;57.31%
Wraith Band;41,600;14,452;34.74%
Bottle;33,947;13,933;41.04%
Swift Blink;24,682;16,994;68.85%
Grove Bow;20,831;9,348;44.88%

Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;77,92%;48,46%;3,12;567;698
Safe Lane;17,79%;46,59%;3,12;595;732
