MostUsedItems
Item;Matches;Wins;Win Rate
Soul Ring;277,163;144,751;52.23%
Bottle;258,655;133,609;51.66%
Blink Dagger;229,720;103,162;44.91%
Shiva's Guard;176,631;106,804;60.47%
Aghanim's Scepter;125,964;72,630;57.66%
Ethereal Blade;121,133;80,662;66.59%
Aether Lens;109,836;55,773;50.78%
Scythe of Vyse;105,394;68,531;65.02%
Black King Bar;104,164;65,315;62.70%
Overwhelming Blink;67,002;50,153;74.85%
Circlet;45,417;14,487;31.90%
Psychic Headband;41,281;23,234;56.28%

Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;88,34%;51,37%;3,59;529;665
Off Lane;6,01%;46,47%;2,47;398;548
