MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Scepter;126,688;69,950;55.21%
Bottle;106,455;50,841;47.76%
Witch Blade;84,464;42,253;50.02%
Null Talisman;70,235;30,755;43.79%
Boots of Travel;67,718;38,240;56.47%
Magic Wand;56,048;25,651;45.77%
Ethereal Blade;54,755;30,712;56.09%
Aghanim's Shard;50,070;29,648;59.21%
Eul's Scepter of Divinity;49,073;23,086;47.04%
Kaya and Sange;48,670;28,227;58.00%
Phase Boots;44,589;21,372;47.93%
Black King Bar;39,178;20,364;51.98%

Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;81,44%;49,61%;3,77;500;703
Off Lane;13,50%;48,97%;2,9;416;599
