MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;55,145;29,580;53.64%
Blink Dagger;46,718;23,971;51.31%
Arcane Boots;41,695;18,776;45.03%
Aether Lens;40,768;20,244;49.66%
Magic Wand;33,687;15,448;45.86%
Aghanim's Scepter;33,093;19,783;59.78%
Null Talisman;32,052;15,915;49.65%
Boots of Speed;28,834;12,210;42.35%
Witch Blade;28,342;14,941;52.72%
Force Staff;26,926;13,260;49.25%
Observer and Sentry Wards;24,897;8,829;35.46%
Glimmer Cape;20,839;9,966;47.82%

Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;57,51%;49,80%;2,27;323;461
Off Lane;30,90%;51,03%;2,44;357;514
Mid Lane;8,12%;52,87%;3,11;465;626
